CustomerID,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Male,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single
50013,1,0.0,1,11.0,2.0,3,3,2,1,13.0,2.0,2.0,2.0,134,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
50014,1,0.0,1,15.0,3.0,4,3,1,1,17.0,0.0,1.0,0.0,134,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50015,1,9.0,3,15.0,3.0,4,2,2,0,16.0,0.0,4.0,7.0,196,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
50016,1,9.0,2,12.0,3.0,3,5,5,1,22.0,1.0,1.0,2.0,121,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
50017,1,0.0,1,12.0,3.0,4,2,2,1,18.0,1.0,1.0,0.0,129,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
50018,1,0.0,3,11.0,2.0,4,3,2,1,11.0,1.0,1.0,3.0,157,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
50019,1,0.0,1,13.0,3.0,5,3,2,1,24.0,1.0,1.0,6.0,161,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
50020,1,19.0,1,20.0,3.0,3,4,10,1,18.0,1.0,4.0,3.0,150,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
50021,1,0.0,3,12.0,3.0,5,3,5,1,18.0,6.0,7.0,7.0,162,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50022,1,20.0,1,29.0,3.0,3,2,2,0,12.0,11.0,15.0,6.0,203,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50023,1,9.0,3,28.0,2.0,3,3,2,1,19.0,0.0,1.0,0.0,117,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
50024,1,0.0,3,26.0,3.0,5,3,4,1,11.0,1.0,2.0,2.0,146,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
50025,1,14.0,1,14.0,2.0,5,2,3,0,15.0,0.0,1.0,3.0,207,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
50026,1,0.0,1,15.0,2.0,3,5,8,0,22.0,1.0,1.0,4.0,142,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
50027,0,8.0,3,6.0,3.0,3,4,2,0,13.0,1.0,1.0,6.0,173,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
50028,0,9.0,3,12.0,2.0,3,3,3,1,20.0,0.0,4.0,5.0,123,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
50029,0,18.0,1,14.0,2.0,3,4,9,0,18.0,1.0,1.0,15.0,123,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
50030,0,5.0,3,14.0,2.0,3,2,2,0,14.0,2.0,3.0,7.0,190,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50031,0,2.0,1,6.0,2.0,3,3,2,0,13.0,0.0,1.0,9.0,143,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
50032,0,0.0,1,13.0,2.0,4,3,3,0,17.0,1.0,1.0,0.0,161,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
50033,0,30.0,1,15.0,3.0,4,4,5,1,20.0,1.0,1.0,0.0,133,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50034,0,13.0,3,10.0,3.0,4,2,8,0,11.0,2.0,2.0,11.0,209,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
50035,0,9.0,3,8.0,3.0,3,3,7,0,18.0,1.0,1.0,2.0,122,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
50036,0,0.0,1,14.0,3.0,3,2,2,0,24.0,0.0,2.0,2.0,123,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50037,0,9.0,1,15.0,2.0,3,4,7,0,18.0,0.0,2.0,2.0,120,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
50038,0,1.0,1,27.0,3.0,3,2,2,0,11.0,0.0,1.0,2.0,127,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50039,0,30.0,1,30.0,2.0,2,2,4,1,16.0,1.0,1.0,4.0,194,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
50040,0,0.0,1,14.0,3.0,4,3,2,1,15.0,0.0,1.0,1.0,126,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
50041,0,23.0,1,17.0,2.0,3,4,4,0,15.0,2.0,4.0,4.0,299,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
50042,0,14.0,1,14.0,2.0,3,3,5,0,12.0,1.0,1.0,8.0,125,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
50043,0,3.0,3,11.0,2.0,3,2,3,0,12.0,2.0,7.0,4.0,194,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50044,0,11.0,3,6.0,2.0,4,2,5,0,22.0,1.0,1.0,1.0,187,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
50045,0,5.0,1,12.0,3.0,3,3,4,0,20.0,0.0,1.0,4.0,130,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
50046,0,0.0,1,23.0,3.0,3,4,1,1,16.0,1.0,1.0,1.0,131,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
50047,1,0.0,3,14.0,3.0,5,5,1,0,21.0,1.0,1.0,0.0,123,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
50048,0,9.0,1,9.0,1.0,3,4,5,0,12.0,4.0,7.0,2.0,121,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
50049,0,3.0,1,15.0,3.0,3,5,2,0,11.0,0.0,6.0,10.0,131,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
50050,0,18.0,3,10.0,1.0,3,5,5,1,11.0,0.0,1.0,3.0,150,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
50051,0,29.0,1,14.0,3.0,3,5,5,1,18.0,1.0,2.0,2.0,143,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
50052,0,6.0,1,14.0,2.0,3,2,1,0,14.0,0.0,1.0,2.0,125,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
50053,1,0.0,1,8.0,2.0,4,2,2,0,22.0,0.0,1.0,0.0,111,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
50054,0,19.0,3,6.0,3.0,3,5,2,0,25.0,4.0,15.0,7.0,205,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
50055,0,9.0,1,15.0,3.0,3,2,2,0,12.0,1.0,2.0,1.0,123,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
50056,0,4.0,1,18.0,3.0,3,2,9,1,23.0,1.0,1.0,2.0,139,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
50057,0,9.0,1,33.0,3.0,3,4,3,0,15.0,1.0,1.0,2.0,123,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50058,1,4.0,3,26.0,3.0,3,4,2,1,22.0,0.0,1.0,2.0,131,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
50059,0,23.0,1,6.0,2.0,4,3,3,0,15.0,0.0,1.0,2.0,137,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
50060,0,26.0,1,19.0,2.0,2,5,2,0,11.0,1.0,1.0,3.0,145,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
50061,0,6.0,1,20.0,3.0,3,4,2,0,13.0,0.0,1.0,6.0,128,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50062,0,13.0,1,10.0,2.0,3,3,2,0,14.0,1.0,9.0,9.0,290,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
50063,0,28.0,1,20.0,3.0,2,4,9,0,11.0,1.0,2.0,15.0,287,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
50064,0,7.0,1,8.0,2.0,4,3,2,0,17.0,0.0,1.0,9.0,195,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50065,0,24.0,1,9.0,3.0,3,4,4,0,18.0,0.0,2.0,0.0,237,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
50066,0,25.0,1,6.0,3.0,4,3,1,0,15.0,1.0,11.0,9.0,300,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
50067,0,9.0,1,15.0,2.0,3,4,2,0,16.0,1.0,1.0,3.0,123,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50068,1,0.0,1,29.0,2.0,4,3,4,1,13.0,1.0,1.0,1.0,159,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50069,0,9.0,1,13.0,2.0,2,2,5,0,14.0,0.0,2.0,2.0,121,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
50070,0,18.0,1,8.0,3.0,4,2,10,0,23.0,1.0,11.0,8.0,268,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
50071,0,10.0,1,27.0,3.0,2,5,2,1,12.0,0.0,1.0,7.0,136,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
50072,0,8.0,1,8.0,2.0,3,4,6,0,11.0,1.0,1.0,2.0,144,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
50073,0,15.0,1,27.0,2.0,3,3,3,0,16.0,0.0,1.0,2.0,153,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
50074,0,11.0,1,8.0,2.0,3,3,10,0,14.0,0.0,1.0,0.0,166,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50075,0,11.0,1,35.0,2.0,3,2,4,0,18.0,0.0,1.0,7.0,163,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
50076,0,0.0,1,6.0,2.0,4,5,6,0,19.0,0.0,2.0,0.0,143,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
50077,0,22.0,1,24.0,3.0,3,2,2,1,15.0,0.0,1.0,7.0,168,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
50078,0,7.0,1,16.0,2.0,3,3,2,1,17.0,2.0,2.0,0.0,138,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
50079,0,13.0,1,25.0,3.0,3,2,9,1,15.0,1.0,3.0,7.0,127,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
50080,1,1.0,1,35.0,3.0,3,5,8,1,19.0,0.0,1.0,0.0,167,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
50081,1,0.0,3,33.0,2.0,3,2,2,0,22.0,1.0,1.0,9.0,176,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50082,0,0.0,1,14.0,2.0,2,4,2,1,16.0,0.0,2.0,2.0,123,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
50083,0,9.0,1,24.0,3.0,3,2,2,0,13.0,1.0,1.0,7.0,122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50084,0,13.0,1,15.0,3.0,4,2,10,0,14.0,1.0,1.0,2.0,149,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50085,0,19.0,1,6.0,3.0,3,5,8,0,16.0,0.0,1.0,3.0,194,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
50086,1,0.0,3,10.0,2.0,5,2,2,0,11.0,7.0,9.0,8.0,204,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
50087,0,3.0,1,6.0,2.0,4,3,2,0,22.0,2.0,5.0,8.0,185,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
50088,0,0.0,3,26.0,2.0,3,3,2,0,14.0,1.0,1.0,7.0,200,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
50089,0,24.0,1,14.0,2.0,4,4,6,0,16.0,1.0,4.0,3.0,225,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
50090,1,0.0,1,14.0,2.0,3,5,6,1,11.0,1.0,1.0,4.0,127,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
50091,0,14.0,3,12.0,3.0,3,2,4,1,18.0,0.0,2.0,0.0,236,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
50092,1,0.0,3,32.0,2.0,4,5,6,0,15.0,0.0,1.0,1.0,167,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
50093,1,9.0,1,6.0,2.0,3,3,1,0,14.0,0.0,1.0,5.0,121,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
50094,0,18.0,3,12.0,2.0,4,2,7,0,12.0,12.0,12.0,8.0,189,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
50095,0,27.0,3,9.0,2.0,3,5,3,0,14.0,1.0,1.0,5.0,159,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
50096,0,9.0,1,11.0,3.0,3,4,9,0,16.0,0.0,3.0,7.0,159,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
50097,0,6.0,1,14.0,2.0,4,4,7,0,21.0,0.0,1.0,1.0,126,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50098,0,10.0,1,17.0,2.0,3,2,2,1,14.0,0.0,1.0,3.0,222,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
50099,0,11.0,3,9.0,3.0,3,3,1,0,12.0,1.0,5.0,13.0,206,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
50100,0,4.0,1,6.0,2.0,5,3,1,0,12.0,1.0,1.0,4.0,143,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
50101,0,9.0,1,9.0,3.0,4,2,4,0,17.0,0.0,1.0,0.0,122,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
50102,0,10.0,3,10.0,2.0,3,2,5,0,17.0,1.0,5.0,8.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
50103,0,2.0,3,6.0,2.0,3,2,2,0,14.0,4.0,4.0,1.0,179,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50104,0,8.0,3,6.0,3.0,3,3,2,0,14.0,1.0,1.0,8.0,188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50105,1,0.0,1,14.0,2.0,4,2,2,1,13.0,0.0,1.0,1.0,124,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
50106,0,25.0,1,8.0,2.0,4,2,8,0,15.0,0.0,2.0,2.0,132,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
50107,0,15.0,1,10.0,2.0,3,2,2,0,15.0,0.0,11.0,15.0,292,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
50108,0,9.0,2,12.0,2.0,3,3,9,0,17.0,2.0,2.0,2.0,123,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50109,0,23.0,3,6.0,3.0,3,2,4,0,15.0,1.0,1.0,6.0,295,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
50110,1,0.0,1,14.0,2.0,3,2,6,1,13.0,0.0,1.0,4.0,124,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50111,0,16.0,3,22.0,3.0,3,2,6,1,22.0,0.0,2.0,9.0,261,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
50112,1,0.0,1,8.0,3.0,3,5,8,0,20.0,1.0,1.0,7.0,127,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
50113,0,25.0,3,8.0,3.0,4,3,2,1,18.0,1.0,15.0,12.0,291,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
50114,0,5.0,3,10.0,2.0,3,4,3,0,11.0,1.0,1.0,2.0,139,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
50115,1,0.0,1,6.0,3.0,4,3,1,1,14.0,1.0,1.0,2.0,137,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
50116,0,9.0,1,6.0,3.0,3,3,8,0,14.0,0.0,1.0,2.0,122,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
50117,0,5.0,3,32.0,3.0,3,2,1,0,18.0,1.0,2.0,2.0,145,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
50118,0,14.0,1,25.0,3.0,3,5,3,0,16.0,1.0,1.0,0.0,131,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
50119,0,13.0,1,30.0,3.0,3,2,2,0,17.0,2.0,4.0,7.0,133,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
50120,0,18.0,1,6.0,3.0,2,2,1,0,15.0,1.0,1.0,7.0,292,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
50121,0,4.0,1,9.0,3.0,3,3,10,0,12.0,1.0,2.0,2.0,237,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
50122,0,6.0,1,11.0,3.0,4,2,2,0,13.0,0.0,1.0,2.0,129,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
50123,0,7.0,1,8.0,2.0,4,5,7,0,13.0,0.0,5.0,9.0,160,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50124,0,10.0,1,6.0,2.0,4,5,3,0,14.0,1.0,1.0,2.0,139,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
50125,0,18.0,1,13.0,3.0,2,3,5,0,17.0,0.0,1.0,2.0,164,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50126,1,0.0,1,16.0,3.0,3,3,7,0,11.0,1.0,1.0,0.0,200,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
50127,0,12.0,1,8.0,3.0,3,3,1,0,25.0,10.0,11.0,3.0,209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
50128,0,2.0,1,14.0,2.0,3,2,2,0,19.0,0.0,1.0,5.0,123,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
50129,0,15.0,1,23.0,2.0,2,5,4,1,13.0,0.0,1.0,2.0,165,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
50130,0,2.0,3,26.0,2.0,3,2,3,0,14.0,1.0,1.0,2.0,169,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
50131,0,0.0,1,6.0,3.0,3,3,1,0,12.0,1.0,1.0,2.0,149,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
50132,0,15.0,1,14.0,2.0,4,5,1,1,11.0,4.0,7.0,8.0,126,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
50133,0,13.0,1,8.0,2.0,3,3,1,0,15.0,0.0,3.0,9.0,294,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
50134,0,24.0,1,6.0,3.0,3,2,2,0,11.0,1.0,1.0,0.0,127,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
50135,1,0.0,1,35.0,3.0,4,4,1,0,11.0,1.0,1.0,4.0,135,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
50136,0,5.0,1,13.0,3.0,2,4,2,0,20.0,0.0,1.0,3.0,128,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
50137,0,11.0,3,8.0,2.0,4,2,4,0,18.0,6.0,7.0,5.0,152,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50138,0,9.0,1,8.0,2.0,4,5,5,0,13.0,0.0,1.0,4.0,122,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
50139,0,19.0,3,8.0,3.0,5,4,4,1,12.0,1.0,7.0,7.0,269,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
50140,1,0.0,1,8.0,3.0,3,3,3,0,11.0,1.0,1.0,0.0,135,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
50141,0,2.0,3,8.0,3.0,4,4,3,0,19.0,0.0,1.0,0.0,166,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
50142,0,4.0,1,29.0,3.0,4,2,1,0,21.0,1.0,7.0,8.0,156,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
50143,0,0.0,1,11.0,2.0,2,5,2,0,12.0,1.0,1.0,5.0,140,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
50144,0,18.0,1,26.0,3.0,3,2,1,1,14.0,0.0,2.0,10.0,235,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
50145,0,9.0,1,12.0,2.0,3,2,1,0,11.0,4.0,10.0,11.0,132,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
50146,0,28.0,1,6.0,2.0,3,5,1,1,14.0,1.0,4.0,13.0,290,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
50147,1,10.0,1,35.0,2.0,3,4,2,1,12.0,5.0,9.0,3.0,218,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
50148,0,9.0,1,15.0,3.0,3,2,2,0,23.0,1.0,1.0,4.0,121,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50149,0,10.0,3,12.0,3.0,3,2,5,0,14.0,0.0,1.0,1.0,165,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
50150,0,0.0,1,9.0,3.0,4,3,2,0,17.0,1.0,1.0,0.0,132,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
50151,0,10.0,1,6.0,0.0,3,2,3,1,18.0,0.0,2.0,2.0,236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
50152,0,2.0,1,28.0,3.0,2,4,8,0,18.0,5.0,6.0,3.0,220,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
50153,0,11.0,3,13.0,2.0,2,5,2,1,24.0,0.0,7.0,7.0,156,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
50154,0,0.0,1,6.0,2.0,3,4,2,0,20.0,0.0,1.0,4.0,164,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
50155,0,23.0,1,10.0,3.0,3,4,4,0,14.0,1.0,1.0,6.0,291,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
50156,0,26.0,1,9.0,2.0,3,3,4,1,16.0,1.0,1.0,3.0,276,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
50157,0,15.0,3,6.0,2.0,3,3,2,0,25.0,4.0,11.0,6.0,149,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50158,0,2.0,3,8.0,2.0,3,2,2,0,18.0,0.0,1.0,9.0,146,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
50159,0,28.0,1,26.0,2.0,3,2,4,1,19.0,1.0,1.0,8.0,154,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
50160,0,0.0,1,17.0,2.0,3,5,2,1,13.0,2.0,3.0,3.0,147,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
50161,0,9.0,1,6.0,2.0,3,2,2,0,12.0,1.0,5.0,7.0,121,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
50162,1,7.0,1,30.0,3.0,3,3,4,1,22.0,0.0,1.0,0.0,132,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
50163,0,11.0,1,29.0,2.0,3,2,10,0,14.0,0.0,1.0,2.0,157,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
50164,1,0.0,1,14.0,2.0,3,4,3,1,13.0,1.0,1.0,2.0,124,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
50165,0,1.0,1,14.0,3.0,3,2,2,0,21.0,0.0,1.0,2.0,133,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
50166,0,22.0,1,16.0,2.0,3,5,10,1,11.0,1.0,1.0,2.0,287,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
50167,0,9.0,1,9.0,1.0,3,4,5,0,12.0,6.0,7.0,7.0,145,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
50168,0,4.0,3,11.0,3.0,3,4,2,0,11.0,0.0,2.0,2.0,128,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
50169,1,0.0,3,10.0,2.0,4,2,2,1,12.0,7.0,7.0,4.0,158,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
50170,0,10.0,1,14.0,2.0,3,2,2,1,12.0,0.0,1.0,2.0,123,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50171,0,15.0,3,32.0,3.0,3,4,6,0,14.0,2.0,2.0,8.0,235,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
50172,1,9.0,1,9.0,2.0,3,3,2,0,13.0,0.0,1.0,0.0,114,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
